NAME	SMILE Format
Antibiotic CDA	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(CCC(O)=O)C(N1)=O)=O)=O)=O)=O)C2=CC=C(O)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1CC4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7
Teicoplanin	O=C(NC(C(NC(C(NC1C(O)=O)=O)C(C2=CC=C(O3)C(Cl)=C2)OC4OC(CO)C(O)C(O)C4NC(C)=O)=O)C5=CC(C6=C1C=C(O)C=C6OC7OC(CO)C(O)C(O)C7O)=C(O)C=C5)C(NC8=O)C9=CC(OC%10=C(Cl)C=C(CC(NC(C(N)C%11=CC(O%12)=C(O)C=C%11)=O)C(NC8C%13=CC(O)=CC%12=C%13)=O)C=C%10)=C(O)C3=C9
Memnopeptide A	OC1CCC2(C)C(CCC(C)C23OC(C(CN(C(CCS(C)=O)C(NC(CC4=CN=CN4)C(NC(CCC(N)=O)C(N5CCCC5C(NC(CC6=CNC=N6)C(NC(CCC(N)=O)C(N7CCCC7C(NC(CC(C)C)C(N8CCCC8C(N9CCCC9C(O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)C%10=O)=C%10C=C%11O)=C%11C3)C1(C)C
Tridecaptin-Ca2	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(CCCCC(C)C)O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)C)C(NC(CO)C(O)=O)=O
Acanthagangliosides A-H	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC(C4O)OC(C4O)C(CO)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O
Moenomycin-B2;	O=P(OC[C@@H](OC/C=C(C)\CC/C=C/C(C)(C)CCC(C/C=C(C)/CCC=C(C)C)=C)C(O)=O)(O)O[C@@H](O[C@H](C(N)=O)[C@@H]1O)[C@H](O[C@H]2[C@H](NC(C)=O)[C@H]([C@H](O[C@H]3[C@H](NC(C)=O)[C@H]([C@H](O[C@@H]([C@H](O)[C@@H](O)[C@H]4O)O[C@@H]4C(NC5=C(O)CCC5=O)=O)[C@@H](C)O3)O)[C@@H](CO[C@H](O[C@H](CO)[C@H]6O)[C@H](O)[C@H]6O)O2)O)[C@H]1OC(N)=O
Bogorol B	CCC(C)C(O)C(N/C(C(NC(CC(C)C)C(NC(CCCN)C(NC(C(C)C)C(NC(C(C)C)C(NC(C(C)C)C(NC(CCCCN)C(NC(C(C)C)C(NC(CC(C)C)C(NC(CCCCN)C(NC(CC1=CC=C(O)C=C1)C(NC(CC(C)C)C(NC(C(C)C)CO)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=C/C)=O
Orienticin	OC(C(NC1=O)C2=CC(O)=CC(O)=C2C3=C(O)C=CC(C(C(NC1C4OC(CC5(N)C)OC(C)C5O)=O)NC(C6C(C=C7OC8=CC=C(C(C(C(NC(C(N6)=O)CC(N)=O)=O)NC(C(N(C)C)CC(C)C)=O)O)C=C8)=CC(OC9=CC=C4C=C9Cl)=C7OC(C%10OC(OC(C)C%11O)CC%11(N)C)OC(C(C%10O)O)CO)=O)=C3)=O
Theonellamide F	O=C(NCCC(NC(C(O)=O)CC(O)CC(NC1C(NC(C(NC(CO)C(NC(C(NC(CC(NC(CO)C(NC(C(NC(CC(N)=O)C(NC(C2=O)C(C(N)=O)O)=O)=O)CN3C=NC(C1)=C3)=O)=O)C(O)/C=C(C)\C=C/C4=CC=C(Br)C=C4)=O)CC5=CC=CC=C5)=O)=O)C(O)C)=O)=O)=O)C(N2)CC6=CC=CC=C6
Chondropsin B	CC(O)C(NC(C(C)C(O)CCC(C)C(O)/C(C)=C/C(C)C(O)C(CC(C)C)NC(/C=C/C(C)(C)C(C(C)C(O)C(C)(C)C(OC)=O)=O)=O)=O)C(OC1=O)C(C)C(OC(CC(C(O)=O)O)=O)C/C=C(C)/C(O)C(C)/C=C(C)/C(O)C(C)C(O)CC2OC(C/C=C/C=C/CC/C=C/C=C/C(NC1C(C(O)=O)O)=O)CC(C)C2
Emerimicin IV; Stilbellin II; Samarosporin II; EM-4; U-40590	O=C(C(C)(C)NC(C(C)(C)NC(C(CC(C)C)NC(CNC(C(C(C)C)NC(C(C)(C)NC(C(C)(C)NC(C(C)(C)NC(C(CC1=CC=CC=C1)NC(C)=O)=O)=O)=O)=O)=O)=O)=O)=O)N(CC2O)C(C2)C(NC(CCC(N)=O)C(NC(CC)(C)C(N(CC3O)C(C3)C(NC(C)(C)C(NC(CO)CC4=CC=CC=C4)=O)=O)=O)=O)=O
Antibiotic CDA	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(C(C)CC(O)=O)C(N/1)=O)=O)=O)=O)=O)C2=CC=C(O)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1=C\C4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7
Tallysomycin S5b	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCNCC(C)O)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O
Tallysomycin S6b	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCNCCO)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O
Antibiotic WAP 8294A	O=C(C(CO)NC(C(C(O)C(N)=O)NC(C(CO)NC(CC(OC(C(C(C)C)N(C)C(C(NC(C(CC1=CNC2=C1C=CC=C2)NC(C(CC(N)=O)NC(C(CCC(O)=O)NC(C(CCCN)NC(C(CC(C)C)NC(C(CC3=CC=CC=C3)N4C)=O)=O)=O)=O)=O)=O)CCCN)=O)=O)CCCC(C)C)=O)=O)=O)NCCC4=O
Antibiotic CDA	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(C(C)CC(O)=O)C(N/1)=O)=O)=O)=O)=O)C2=CC=C(F)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1=C\C4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7
Antibiotic CDA	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(OP(O)(O)=O)C(N)=O)C(NC(C(C)CC(O)=O)C(N1)=O)=O)=O)=O)=O)C2=CC=C(O)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1CC4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7
Tallysomycin S2b	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCC[S+](C)C)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O
Tallysomycin S2b	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCC[S+](C)C)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O
Tallysomycin	O=C(C(CNC(C1=NC(N)=C(C)C(C(NC(C(OC(OC(C2O)CO)C(C2O)OC(OC(C3O)CO)C(C3OC(N)=O)O)C4=CNC=N4)C(NC(C(CC(NC(C(C)O)C(NC(C(C5=NC(C6=NC(C(NCCC[S+](C)C)=O)=CS6)=CS5)O)OC(OC(C7N)C)C(C7O)O)=O)=O)O)C)=O)=O)=N1)CC(N)=O)N)N
Antibiotic CDA	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(C(C)CC(O)=O)C(N1)=O)=O)=O)=O)=O)C2=CC=C(F)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1CC4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7
Acanthagangliosides I-J	O=C(C)NC1C(OC2OC(CO)C(OC3OC(C(O)C)C(O)C3O)C(O)C2O)CC(C(O)=O)(OC4C(O)C(CO)OC(OC5C(O)C(O)C(OCC(NC(C(O)CCCCCCCCCCCCCCCCCCCCCC)=O)C(O)C(O)CCCCCCCCCCCC)OC5CO)C4O)OC1C(O)C(O)CO
Papuamides	CCC(C)/C=C(C)/C=C\C(O)C(C)(O)C(NCC(NC(C(N/C(C(NC(C(NC(C(C(C)C)OC(C1N(C(C(NC2=O)C(OC)C3=CC=C(OC4OC(C)C(O)C(O)C4O)C=C3)=O)CCC(Cl)C1)=O)C(NC(COC)C(NCC(NC(C)C(N(C)C2C(O)C)=O)=O)=O)=O)=O)C(C)C(C)C(N)=O)=O)=C\C)=O)C(O)C)=O)=O
Tridecaptin-Ca1	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(CCCCC(C)CC)O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)C)C(NC(CO)C(O)=O)=O
Acanthagangliosides A-H	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC4C(C(C(O4)C(CO)O)O)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O
Flavomycin; Moenomycin; Moenomycin-A; Bambermycin; Prasinomycin; Prasinomycin-A	O=P(OC[C@](OC/C=C(C)\CC/C=C/C(C)(C)CCC(C/C=C(C)/CCC=C(C)C)=C)([H])C(O)=O)(O)O[C@@H]1[C@H](O[C@H]2[C@H](NC(C)=O)[C@H]([C@H](O[C@H]3[C@H](NC(C)=O)[C@H]([C@H](O[C@@H]([C@H](O)[C@@H](O)[C@H]4O)O[C@@H]4C(NC5=C(O)CCC5=O)=O)[C@@H](C)O3)O)[C@@H](CO[C@H](O[C@H](CO)[C@H]6O)[C@H](O)[C@H]6O)O2)O)[C@H]([C@@](O)(C)[C@@H](C(N)=O)O1)OC(N)=O
Moenomycin	CC(C)=CCC/C(C)=C/CC(CCC(C)(C)/C=C/CC/C(C)=C\COC(C(O)=O)COP(O)(OC(C(OC(C(C1O)NC(C)=O)OC(C1OC(C(C2O)NC(C)=O)OC(C2OC(C3O)OC(C(NC4=C(O)CCC4=O)=O)C(C3O)O)C)COC(C(C(O)C5O)O)OC5CO)C6OC(N)=O)OC(C6(C)O)C(N)=O)=O)=C
Homophymine A	OC(C(O)C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(CO)C(NC(CCCN)C(NC(C(N(C)C(CCC(N)=O)C(NC(C(C)OC)C(NC(CC(O)=O)C(N1CCCCC1C2=O)=O)=O)=O)=O)CC(C)C)=O)=O)=O)C(O2)C(C)C(C)C)=O)=O)C(NC(C(NC(C(C(C(CC(C)C)C)O)C)=O)CCCN)=O)CCC(N)=O
Bogorol A	CCC(C)C(O)C(N/C(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(CC(C)C)C(NC(C(NC(C(NC(CC(C)C)C(NC(CO)C(C)C)=O)=O)CC1=CC=C(O)C=C1)=O)CCCCN)=O)=O)C(C)C)=O)CCCCN)=O)C(C)C)=O)C(C)C)=O)C(CC)C)=O)CCCN)=O)CC(C)C)=O)=C/C)=O
Ianthesine C	BrC1=CC(CC(NS(=O)(O)=O)C(NC(C(O)=O)CC2=CC(Br)=C(OCCCNC(C3=NOC4(C=C(Br)C(OC)=C(Br)C4O)C3)=O)C(Br)=C2)=O)=CC(Br)=C1OCCCNC(C5=NOC6(C=C(Br)C(OC)=C(Br)C6O)C5)=O
Homophymine A	OC(C(O)C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(CO)C(NC(CCCN)C(NC(C(N(C)C(CCC(N)=O)C(NC(C(C)OC)C(NC(CC(O)=O)C(N1CCCCC1C2=O)=O)=O)=O)=O)CC(C)C)=O)=O)=O)C(O2)C(C)C(C)C)=O)=O)C(NC(C(NC(C(C(C(CC(C)C)C)O)C)=O)CCCN)=O)CCC(O)=O
Theopapuamide A	OC(C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(C(C)O)C(NC(CCCN)C(NC(C(N(C(CCC(N)=O)C(NC(C(OC)C(N)=O)C(NC1CC(N)=O)=O)=O)C)=O)CC(C)C)=O)=O)=O)C(OC(C(CC(C)C)N(C1=O)C)=O)C)=O)=O)C(C(C(C)C)NC(C(NC(C(C)C(O)C(C)CC(C)CC)=O)CNC(C)=O)=O)O
Balhimycin V	O=C(NC(C(O)=O)C1=C(C2=C(O)C=CC(C3N4)=C2)C(O)=CC(O)=C1)C(NC3=O)C(OC5CC(N)(C)C(C(C)O5)=O)C6=CC(Cl)=C(OC7=C(OC8C(OC(OC9C)CC(N)(C)C9=O)C(O)C(O)C(CO)O8)C(OC%10=C(Cl)C=C(C(O)C(C(NC(CC(N)=O)C(NC%11C4=O)=O)=O)NC(C(NC)CC(C)C)=O)C=C%10)=CC%11=C7)C=C6
Chondropsin B	CC(OC1=O)C(NC(C(C)C(O)CCC(C)C(O)/C(C)=C/C(C)C(O)C(C(O)C(C)C)NC(/C=C/C(C)(C)C(C(C)C(O)C(C)(C(OC)=O)C)=O)=O)=O)C(O)C(C)C(OC(CC(C(O)=O)O)=O)C/C=C(C)/C(O)C(C)/C=C(C)/C(O)C(C)C(O)CC2OC(C/C=C/C=C/CC/C=C/C=C/C(NC1C(C(O)=O)O)=O)CC(C)C2
Orienticin	OC(C(NC1=O)C2=CC(O)=CC(O)=C2C3=C(O)C=CC(C(C(NC1C4OC(CC5(N)C)OC(C)C5O)=O)NC(C6C7=CC(OC8=CC=C4C=C8Cl)=C(OC9OC(C(C(O)C9OC(OC(C)C%10O)CC%10(N)C)O)CO)C(OC%11=C(Cl)C=C(C=C%11)C(O)C(C(NC(C(N6)=O)CC(N)=O)=O)NC(C(NC)CC(C)C)=O)=C7)=O)=C3)=O
Balhimycin V	O=C(NC(C(O)=O)C1=C(C2=C(O)C=CC(C3N4)=C2)C(O)=CC(O)=C1)C(NC3=O)C(OC5CC(N)(C)C(C(C)O5)=O)C6=CC(Cl)=C(OC7=C(OC8C(OC9C(O)C(O)C(O)C(C)O9)C(O)C(O)C(CO)O8)C(OC%10=C(Cl)C=C(C(O)C(C(NC(CC(N)=O)C(NC%11C4=O)=O)=O)NC(C(NC)CC(C)C)=O)C=C%10)=CC%11=C7)C=C6
Tridecaptin-Cbeta1	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(CCCCC(C)CC)O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)CC)C(NC(CO)C(O)=O)=O
Acanthagangliosides A-H	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC(C4O)OC(C4O)C(CO)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O
Papuamides	CCC(C)/C=C(C)/C=C\C(O)C(C)(O)C(NCC(NC(C(NC(C(N)C)C(NC(C(NC(C(C(C)C)OC(C1N(C(C(NC2=O)C(OC)C3=CC=C(OC4OC(C)C(O)C(O)C4O)C=C3)=O)CCC(Cl)C1)=O)C(NC(COC)C(NCC(NC(C)C(N(C)C2C(O)C)=O)=O)=O)=O)=O)C(C)C(C)C(N)=O)=O)=O)C(O)C)=O)=O
Thiopeptin-A4b	S=C(NC(C(C)OC(C1=NC([C@@H](O)[C@@H]2NC(C(C)C)C(NC(C)C(NC(C(N[C@H]3C)=O)=C)=O)=O)=C(C=C2)C(C(C)O)=C1)=O)C4=NC([C@@H](N=C5C6=NC(C(NC(C(N)=O)=C)=O)=CS6)[C@](NC3=O)(CC5)C7=NC(C(NC(C(C)O)C(N/C(C8=N[C@@H]9CS8)=C\C)=O)=O)=CS7)=CS4)C%10=CSC(C(C(O)(C)C(C)O)NC9=O)=N%10
Siomycin A	CC(C(NC(C1=CSC(C(NC2=O)C(O)(C(O)C)C)=N1)=S)C3=NC(C4C(NC(C(NC(C(NC(C(NC(C5C(C)C)=O)C)=O)=C)=O)C)=O)(C6=NC(C(NC(C(N/C(C7=NC2CS7)=C\C)=O)C(O)C)=O)=CS6)CCC(C8=NC(C(NC(C(N)=O)=C)=O)=CS8)=N4)=CS3)OC(C9=NC(C(C(N5)C=C%10)O)=C%10C(C(O)C)=C9)=O
Homophymine A	OC(C(O)C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(CO)C(NC(CCCN)C(NC(C(N(C)C(CCC(N)=O)C(NC(C(C)OC)C(NC(CC(O)=O)C(N1CCCCC1C2=O)=O)=O)=O)=O)CC(C)C)=O)=O)=O)C(O2)C(C)C(C)C)=O)=O)C(NC(C(NC(C(C(C(CC(CC)C)C)O)C)=O)CCCN)=O)CCC(N)=O
Antibiotic AC 326^a	O[C@@H]1[C@H](O)C(O)[C@@H](C(NC2=C(O)CCC2=O)=O)O[C@H]1O[C@H]3[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]4[C@@H](O)[C@@H](NC(C)=O)[C@H](O[C@H]5[C@@H](OP(O)(OCC(OC/C=C(CC/C=C/C(C)(C)CCC(CC6C(C)(C)CCCC6=C)=C)/C)C(O)=O)=O)O[C@H](C(N)=O)[C@](O)(C)[C@H]5OC(N)=O)O[C@@H]4CO[C@H]7O[C@H](CO)C(O)[C@@H](O)[C@H]7O)O[C@@H]3CO
Theopapuamide A	OC(C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(C(C)O)C(NC(CCCN)C(NC(C(N(C(CCC(N)=O)C(NC(C(OC)C(N)=O)C(NC1CC(N)=O)=O)=O)C)=O)CC(C)CC)=O)=O)=O)C(OC(C(CC(C)C)N(C1=O)C)=O)C)=O)=O)C(C(C(C)C)NC(C(NC(C(C)C(O)C(C)CC(C)CC)=O)CNC(C)=O)=O)O
Thiopeptin-A4a	S=C(NC(C(C)OC(C1=NC([C@@H](O)[C@@H]2NC(C(C)C)C(NC(C)C(NC(C(N[C@H]3C)=O)=C)=O)=O)=C(C=C2)C(C(C)O)=C1)=O)C4=NC([C@@H](N[C@H]5C6=NC(C(NC(C(N)=O)=C)=O)=CS6)[C@](NC3=O)(CC5)C7=NC(C(NC(C(C)O)C(N/C(C8=N[C@@H]9CS8)=C\C)=O)=O)=CS7)=CS4)C%10=CSC(C(C(O)(C)C(C)O)NC9=O)=N%10
Siomycin A	CC(C(NC(C1=CSC(C(NC2=O)C(O)(C(O)C)C)=N1)=S)C3=NC(C4C(NC(C(NC(C(NC(C(NC(C5C(C)C)=O)C)=O)=C)=O)C)=O)(C6=NC(C(NC(C(N/C(C7=NC2CS7)=C\C)=O)C(O)C)=O)=CS6)CCC(N4)C8=NC(C(NC(C(N)=O)=C)=O)=CS8)=CS3)OC(C9=NC(C(C(N5)C=C%10)O)=C%10C(C(O)C)=C9)=O
Theopapuamide A	OC(C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(C(C)O)C(NC(CCCN)C(NC(C(N(C(CCC(N)=O)C(NC(C(OC)C(N)=O)C(NC1CC(N)=O)=O)=O)C)=O)CC(C)C)=O)=O)=O)C(OC(C(CC(C)C)N(C1=O)C)=O)C)=O)=O)C(C(C(C)(O)C)NC(C(NC(C(C)C(O)C(C)CC(C)CC)=O)CNC(C)=O)=O)O
Bogorol D	CCC(C)C(O)C(N/C(C(NC(CCSC)C(NC(CCCN)C(NC(C(CC)C)C(NC(C(C)C)C(NC(C(C)C)C(NC(CCCCN)C(NC(C(C)C)C(NC(CC(C)C)C(NC(CCCCN)C(NC(CC1=CC=C(O)C=C1)C(NC(CC(C)C)C(NC(C(C)C)CO)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=C/C)=O
Theonellamide B	O=C(NC(CC(NC(C(NC(CN1C=NC2=C1)C(NC(CC(N)=O)C3=O)=O)=O)CO)=O)C(/C=C(C)/C=C/C4=CC=CC=C4)O)C(CC5=CC=CC=C5)NC(C(CO)NC(C(C(C)O)NC(C(NC(CC(O)CC(C(O)=O)NC(C(CNC(C(NC(C(N3)C(O)C(N)=O)=O)C(C)C6=CC=C(Br)C=C6)=O)O)=O)=O)C2)=O)=O)=O
Tallysomycin S12b	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCN4CCOCC4)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C5=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C5C)=O)([H])[C@@](C6=CNC=N6)([H])O[C@H](O7)[C@@H](O[C@@H](O[C@H](CO)[C@H]8O)[C@@H](O)[C@H]8OC(N)=O)[C@@H](O)[C@H](O)[C@@H]7CO)=O)=O
Tallysomycin-B; BU-2231-B; Talisomycin-B	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCNCCCCN)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O
Vitilevuamide	O=C(NC(CSCC(NC(CCC(O)=O)=O)C1=O)C(NC(C(NC(C(NC(CC(C)CC)C(NC(C(N(C(C(O)COC)C2=O)C)=O)C(C)C)=O)=O)=C)=O)C(C)CC)=O)C3CCCN3C(C(CC4=CC=CC=C4)NC(C(NC(C(CC(C)CC)NC(C(C)NC(C(CC5=CC=CC=C5)N1)=O)=O)=O)C(C)OC(C(CO)N2)=O)=O)=O
Orienticin	OC(C(NC1=O)C2=CC(O)=CC(O)=C2C3=C(O)C=CC(C(C(NC1C4OC(CC5(N)C)OC(C)C5O)=O)NC(C6C7=CC(OC8=CC=C4C=C8Cl)=C(OC9OC(C(C(O)C9OC(OC(C)C%10O)CC%10(N)C)O)CO)C(OC%11=C(Cl)C=C(C=C%11)C(C(C(NC(C(N6)=O)CC(N)=O)=O)NC(C(N(C)C)CC(C)C)=O)O)=C7)=O)=C3)=O
Didemnin D	COC1=CC=C(CC(C(OC(C(NC(C(CC(C)C)N(C)C(C2CCCN2C(C(C)OC(C(NC(C(NC(C(NC(C(N3)CCC3=O)=O)CCC(N)=O)=O)CCC(N)=O)=O)CCC(N)=O)=O)=O)=O)=O)C4=O)C)=O)N(C)C(C5N(C(C(CC(C)C)NC(C(C(C(C(C)C)OC(CC(O)C(C(CC)C)N4)=O)=O)C)=O)=O)CCC5)=O)C=C1
Acanthagangliosides A-H	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC4C(C(C(O4)C(CO)O)O)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O
Homophymine A	OC(C(O)C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(CO)C(NC(CCCN)C(NC(C(N(C)C(CCC(N)=O)C(NC(C(C)OC)C(NC(CC(O)=O)C(N1CCCCC1C2=O)=O)=O)=O)=O)CC(C)C)=O)=O)=O)C(O2)C(C)C(C)C)=O)=O)C(NC(C(NC(C(C(C(CC(CCC)C)C)O)C)=O)CCCN)=O)CCC(N)=O
Goadsporin	CC(C1=NC(C(NC(C(C)C)C(NC(C2=NC(C(NC(C(NC(CC(C)C)C3=NC(C(NC(C(NCC(NCC4=C(C)OC(C(NC(CC(C)C)C(NC(C5=NC(C(NC(C)C(NCC6=NC(C(NC(C(C)C)C(O)=O)=O)=CS6)=O)=O)=CO5)=C)=O)=O)=N4)=O)=O)CO)=O)=CS3)=O)C(C)CC)=O)=C(C)O2)=C)=O)=O)=C(C)O1)NC(C)=O
Homophymine A	OC(C(O)C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(CO)C(NC(CCCN)C(NC(C(N(C)C(CCC(N)=O)C(NC(C(C)OC)C(NC(CC(O)=O)C(N1CCCCC1C2=O)=O)=O)=O)=O)CC(C)C)=O)=O)=O)C(O2)C(C)C(C)C)=O)=O)C(NC(C(NC(C(C(C(CC(CCC)C)C)O)C)=O)CCCN)=O)CCC(O)=O
