NAME	Molecular Weight	SMILE Format	SOURCE	ACTIVITY
Siomycin A	1530.811	CC(O)C1=CC(C(OC(C(NC(C2=CSC(C(NC(C3N=C(SC3)/C(NC(C(NC(C4=CSC5=N4)=O)C(O)C)=O)=C/C)=O)C(O)(C(O)C)C)=N2)=S)C6=NC(C7NCC(CC75NC8=O)C9=NC(C(N)=O)=CS9)=CS6)C)=O)=NC%10=C1C=CC(NC(C(NC(C(NC(C(NC8C)=O)=C)=O)C)=O)C(C)C)C%10O		
Tallysomycin S1b	1532.577	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCN)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O	Streptoalloteichus hindustanus+1.3-diaminopropane	(S.aureus, 1) (S.lutea, 1.6) (B.subt., .05) (E.coli, .4) (P.vulg., 1.6) (Mycob.sp., .05) (C.alb., 12) (Fungi, 1.6)
Lyngbyazothrin C	1532.755	O=C(C(CCC1=CC=C(OC)C=C1)NC(C(NC(/C(NC(C(NC(C(C(CC)C)NC(C2N3CCC2)=O)=O)CO)=O)=C\C)=O)C(O)C)=O)N4C(C(NC(C(C(NC(C(NCC(N5C(C3=O)CCC5)=O)=O)CCC(N)=O)=O)O)CC(CC(O)C(O)CC(C)C)OC(C(N(C)C(C)=O)CC6=CC=C(O)C=C6)=O)=O)CCC4		
WF-11243; FR-901469	1533.784	O=C([C@H]([C@@H](C)O)NC([C@@H]([C@@H](C)O)NC([C@H]1N(C[C@H](O)C1)C([C@H](C(C)C)NC([C@H](CC2=CC=C(O)C=C2)NC3=O)=O)=O)=O)=O)N(CC[C@@H]4O)[C@@H]4C(N[C@@H]([C@H](O)CC(N)=O)C(NCC(N[C@H]([C@@H](C)O)C(N[C@@H](CCCN)C(O[C@H](CCCCCCCCCCCCC)CC(N[C@H](C(N[C@@H]3C)=O)[C@@H](C)O)=O)=O)=O)=O)=O)=O	fungus No.11243	(protozoa, ) (1,3-beta-glucan synthase, 0.05) (Candida albicans, 0.63)  (Aspergillus fumigatus, 0.16) (Pneumocystis, ) (fungi, 0.1-0.6)  (glucan synthase inhib., iC50 0.05)
Antibiotic FR 901469	1533.784	CCCCCCCCCCCCCC(OC(C(NC(C(NC(CNC(C(C(O)CC(N)=O)NC(C1N(C(C(C(O)C)NC(C(N2)C(C)O)=O)=O)CCC1O)=O)=O)=O)C(C)O)=O)CCCN)=O)CC(NC(C(C)O)C(NC(C(NC(C(NC(C(C)C)C(N3C(CC(O)C3)C2=O)=O)=O)CC4=CC=C(O)C=C4)=O)C)=O)=O		
Halicylindramide E	1535.582	BrC1=CC=C(CC(NC(C(NC=O)C)=O)C(N2C(CCC2)C(NC(C(C)C)C(NC(C(NC(C(NC(CCCNC(N)=N)C(NC(C(NC(C(N(C)C(C(NC(C(N)=O)CC3=CC=CC=C3)=O)CCC(N)=O)=O)C(O)C)=O)CS(=O)(O)=O)=O)=O)CC4=CNC5=C4C=CC=C5)=O)C(C)(C)C)=O)=O)=O)C=C1		
Kahalalide R	1535.935	O=C(NC(CCCN)C(NC(C(NC(C(C)OC(C(NC/1=O)C(C)C)=O)C(NC(C(C)C)C(NC(C(NC(CC2=CC=CC=C2)C(NC1=C/C)=O)=O)C(C)C)=O)=O)=O)C(CC)C)=O)C3N(C(C(C(C)C)NC(C(C(C)C)NC(C(NC(C(NC(CCCC(O)CC(C)C)=O)CCC(O)=O)=O)C(C)C)=O)=O)=O)CCC3		
Tridecaptin Abeta	1536.795	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(O)CCC(C)CC)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)C)C(NC(C)C(O)=O)=O	Bacillus polymyxa	(B. subt., 12.5) (S. aureus, 50) (E. coli, 3.13) (K. pneum., 6.25) (Ps. aerug., 50) (P. vulg., 50) (g-pos., )
Tridecaptin Abeta	1536.795	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(O)CCC(C)CC)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)C)C(NC(C)C(O)=O)=O	Bacillus polymyxa	(B. subt., 12.5) (S. aureus, 50) (E. coli, 3.13) (K. pneum., 6.25) (Ps. aerug., 50) (P. vulg., 50) (g-pos., )
Bleomycin-B4; Phleomycin-F; Dehydrophleomycin-E; CU-BT-5	1538.68	N=C(NCCCCNC(N)=N)NCCCCNC(C1=CSC(C2=CSC(CCNC([C@@]([C@@H](C)O)([H])NC([C@@H](C)[C@H](O)[C@@H](C)NC([C@](NC(C3=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C3C)=O)([H])[C@@](C4=CNC=N4)([H])O[C@H](O5)[C@@H](O[C@@H](O[C@H](CO)[C@H]6O)[C@@H](O)[C@H]6OC(N)=O)[C@@H](O)[C@H](O)[C@@H]5CO)=O)=O)=O)=N2)=N1)=O	Streptomyces verticillus	(S.aureus, .1) (S.lutea, .1) (B.subt., .05) (K.pneum., 3.1) (E  .coli, .5) (Shyg., .1) (Mycob.sp., .06) (antitumor)
Acanthagangliosides A-H	1539.802	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC(C4O)OC(C4O)C(CO)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O		
Bleomycin	1540.696	CC(NC(C(C(OC(OC(C1O)CO)C(C1O)OC(C(C(OC(N)=O)C2O)O)OC2CO)C3=CNC=N3)NC(C4=NC(C(NCC(N)C(N)=O)CC(N)=O)=NC(N)=C4C)=O)=O)C(C(C(NC(C(NCCC5=NC(C6=NC(C(NCCCCNC(NCCCCNC(N)=N)=N)=O)=CS6)CS5)=O)C(O)C)=O)C)O		
Omphalotin B	1540.907	O=C(OC(C(C(N(C(C1C(C)(C)O)=O)C)C(N(C)C(OC(C)=O)C(NC(C(C)C)C(N(C(C(N(CC(N2C(C(N(C)C(C(C)C)C(NC(C(N(C)C(C(C)C)C(N(C)C(C(N(C)CC(N1C)=O)=O)C(C)C)=O)=O)C(CC)C)=O)=O)CC3(O)C2N(O)C4=C3C=CC=C4)=O)C)=O)C(CC)C)C)=O)=O)=O)C)C)CC(C)(O)C		
Leucinostatin A	1542.916	O=C(N1CC(CC1C(NC(C(NC(C(NC(C)(C)C(NC(C(NC(C(NC(C)(C(NC(C)(C(NCCC(NC(CN(C)C)C)=O)=O)C)=O)C)=O)CC(C)C)=O)CC(C)C)=O)=O)C(OC2OC(CO)C(O)C(O)C2O)C(C)C)=O)CC(CC(OC3C(O)C(O)C(O)C(CO)O3)CC(CC)=O)C)=O)C)/C=C/C(C)CC		
Orienticin	1544.966	OC(C(NC1=O)C2=CC(O)=CC(O)=C2C3=C(O)C=CC(C(C(NC1C4OC(CC5(N)C)OC(C)C5O)=O)NC(C6C(C=C7OC8=CC=C(C(O)C(C(NC(C(N6)=O)CC(N)=O)=O)NC(C(NC)CC(C)C)=O)C=C8)=CC(OC9=CC=C4C=C9Cl)=C7OC(C%10OC(O%11)CC(C(C%11C)O)O)OC(C(C%10O)O)CO)=O)=C3)=O		
Tallysomycin S11b	1546.604	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCNC)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O	Streptoalloteichus hindustanus + N-methyl-1.3-diaminopropane	(S.aureus, 3.1) (S.lutea, .8) (B.subt., .1) (E.coli, .2) (P.vulg., 1.6) (Mycob.sp., .1) (C.alb., 12.5) (Fungi, 6.3)
Tallysomycin-S10b	1546.604	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCCN)=O)=CS3)=CS2)C(C(C)O)NC(CC(O)C(C)NC(C(NC(C4=NC(C(NCC(N)C(N)=O)CC(N)=O)=NC(N)=C4C)=O)C(C5=CNC=N5)O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O	Streptoalloteichus hindustanus+1.4-Diaminobutane	(S. aureus, 3.1) (S. lutea, 3.1) (B. subt., .2) (E. coli, .8) (P. vulg., .4) (K. pneum., .2) (Ps. aerug., 1.6) (Mycob. sp., .2) (C. alb., 12.5) (fungi, 6.3)
Gangliosides	1546.841	OC1C(O)C(O)C(OC2C(O)C(CO)OC(OC3C(OC4(C(O)=O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)C(O)C(OC5C(O)C(O)C(OCC(NC(CCCCCCCCCCCCCCCCC)=O)C(/C=C/CCCCCCCCCCCCC)O)OC5CO)OC3CO)C2NC(C)=O)OC1CO		
<h1>Mycobacterium avium<h0> Glycopeptidolipid	1547.92	CC1C(OC)C(OC)C(O)C(OCC(C)NC(C(C)NC(C(NC(C(CC2=CC=CC=C2)NC(CC(O)CCCCCCCCCCCCCCCCCCCCC)=O)=O)C(C)OC3OC(C)C(O)C(O)C3OC4OC(C)C(O)C(OC5OC(C)C(OC6OC(C)C(OC)C(O)C6O)C(O)C5OC)C4O)=O)=O)O1		
Tallysomycin S4b	1548.576	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCC(CN)O)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O	Streptoalloteichus hindustanus+1.3-diamino-2-hydroxypropane	(S.aureus, .8) (S.lutea, 3.1) (B.subt., .006) (E.coli., .4) (P.vulg., .4) (Myc08.sp., .003) (Nc.alb., 25) (Fungi, .8)
Pyoverdin Pf 1547	1548.587	O=C(NC(CO)C(NC(C(NC(C)C(NC(C(NC(C(O)C)C(NC(C)C(NCC(NC(CCC(N)=O)C(NC(C)C(NC(CO)C(NC(C(NC1CCCN(O)C1=O)=O)CO)=O)=O)=O)=O)=O)=O)=O)CCCN(O)C(C)=O)=O)=O)CCCCN)=O)C2N3C4=CC(O)=C(O)C=C4C=C(NC(CCC(O)=O)=O)C3=NCC2		
Antibiotic WAP 8294A	1548.762	O=C(C(CO)NC(C(C(O)C(N)=O)NC(C(CO)NC(CC(OC(C(C(C)C)N(C)C(C(NC(C(CC1=CNC2=C1C=CC=C2)NC(C(CC(N)=O)NC(C(CCC(O)=O)NC(C(CCCN)NC(C(CC(C)C)NC(C(CC3=CC=CC=C3)N4)=O)=O)=O)=O)=O)=O)CCCN)=O)=O)CCCC(C)C)=O)=O)=O)NCC4=O		
Pyoverdin Pf12	1549.527	OC1=CC(C=C2NC(CCC(C(O)=O)=O)=O)=C(C=C1O)N3C2=NCCC3C(NC(C(NC(C(NCC(NC(C(NC(C(NC(C(NCC(NC(C(NC(C(NC(C(NC4CO)=O)CCC(O)=O)=O)CCCN(C=O)O)=O)CCCCNC4=O)=O)=O)CO)=O)CO)=O)CCCN(C=O)O)=O)=O)CCCCN)=O)CO)=O		
<h1>N<h0>-Deacylantibiotic A 40926	1550.237	O=C([C@@H](O[C@H](OC1=C(OC2=CC=C(CC(C(NC(C(NC3C(NC(C(NC(C(NC4C(O)=O)=O)C5O)=O)C(C=C6C7=C4C=C(O)C=C7O[C@@H]([C@@H]([C@H](O)[C@@H]8O)O)O[C@@H]8CO)=CC=C6O)=O)=O)C9=CC(OC%10=CC%11=CC=C%10O)=CC(O)=C9Cl)=O)NC(C%11NC)=O)C=C2)C=C3C=C1OC%12=CC=CC5=C%12Cl)[C@H](N)[C@H]%13O)[C@H]%13O)O		
Pyoverdin Pf12	1550.559	OC1=CC(C=C2NC(CCC(C(O)=O)N)=O)=C(C=C1O)N3C2=NCCC3C(NC(C(NC(C(NCC(NC(C(NC(C(NC(C(NCC(NC(C(NC(C(NC(C(NC4CO)=O)CCC(O)=O)=O)CCCN(C=O)O)=O)CCCCNC4=O)=O)=O)CO)=O)CO)=O)CCCN(C=O)O)=O)=O)CCCCN)=O)CO)=O		
Cleomycin	1550.691	O=C(N)CC(NCC(N)C(N)=O)C1=NC(N)=C(C)C(C(NC(C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(OC(N)=O)C3O)C4=CNC=N4)C(NC(C)C(O)C(C(NC(C(NCCC5=NC(C6=NC(C(NCCCCNC(NCCCCNC(N)=N)=N)=O)=CS6)=CS5)=O)C7(O)CC7)=O)C)=O)=O)=N1		
Tridecaptin-Aa; Ar-110	1550.822	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(O)CCC(C)CC)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)CC)C(NC(C)C(O)=O)=O	Bacillus polymyxa	(B. subt., 12.5) (S. aureus, 50) (E. coli, 3.13) (K. pneum., 6.25) (Ps. aerug., 50) (P. vulg., 50)
Acanthagangliosides I-J	1551.857	O=C(C)NC1C(OC2OC(CO)C(OC3OC(C(O)C)C(O)C3O)C(O)C2O)CC(C(O)=O)(OC4C(O)C(CO)OC(OC5C(O)C(O)C(OCC(NC(C(O)CCCCCCCCCCCCCCCCCCCC)=O)C(O)C(O)CCCCCCCCCCCC)OC5CO)C4O)OC1C(O)C(O)CO		
Acanthagangliosides A-H	1553.829	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC4C(C(C(O4)C(CO)O)O)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O		
Bogorol C	1556.058	CCC(C)C(O)C(N/C(C(NC(C(C)C)C(NC(CCCN)C(NC(C(C)C)C(NC(C(C)C)C(NC(C(C)C)C(NC(CCCCN)C(NC(C(C)C)C(NC(CC(C)C)C(NC(CCCCN)C(NC(CC1=CC=C(O)C=C1)C(NC(CC(C)C)C(NC(C(C)C)CO)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=C/C)=O		
A-41030F	1557.653	O=C(C1NC(C2NC(C(C3=CC(OC4=CC=C5C=C4Cl)=C(O)C(OC(C(Cl)=C6)=CC=C6C1O)=C3)NC(C(C7=CC(OC8=CC9=CC=C8O[C@H]%10[C@H](O)[C@H]([C@@H](O[C@H](O[C@H](CO)[C@@H]%11O)[C@H](O)[C@H]%11O)[C@@H](CO)O%10)O)=CC(O)=C7)NC(C(C5)NC(C9N)=O)=O)=O)=O)=O)NC(C(O)=O)C%12=C(C(O)=CC(O)=C%12)C%13=CC2=CC(Cl)=C%13O	(A) S. virginiae a 41030 (NRRL 15156). s. virginiae a 41030.4 (NRRL 12525)	
Orienticin	1558.009	CNC(C(NC(C(C1=CC(Cl)=C(OC2=CC3=CC(OC4=CC=C5C=C4)=C2OC(C(C6O)OC(CC7(N)C)OC(C)C7O)OC(C6O)CO)C=C1)O)C(NC(C(NC3C(NC(C(NC8C5OC(OC(C)C9O)CC9(N)C)=O)C%10=CC(C%11=C(O)C=C(O)C=C%11C(C(O)=O)NC8=O)=C(C=C%10)O)=O)=O)CC(N)=O)=O)=O)CC(C)C		
Theopapuamide A	1558.839	OC(C(NC(C(C(C(N)=O)C)C)C(NC(C(NC(C(C)O)C(NC(CCCN)C(NC(C(N(C(CCC(N)=O)C(NC(C(OC)C(N)=O)C(NC1CC(N)=O)=O)=O)C)=O)CC(C)C)=O)=O)=O)C(OC(C(CC(C)C)N(C1=O)C)=O)C)=O)=O)C(C(C(C)(O)C)NC(C(NC(C(C)C(O)C(C)CC(C)CC)=O)CN)=O)O		
Stilbellin I; Samarosporin I; Emerimicin III; EM-3; U-40589	1559.873	O=C(C(CC)(C)NC(C(CCC(N)=O)NC(C(C1)N(CC1O)C(C(C)(C)NC(C(C)(C)NC(C(CC(C)C)NC(CNC(C(C(C)C)NC(C(C)(C)NC(C(C)(C)NC(C(C)(C)NC(C(CC2=CC=CC=C2)NC(C)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)N(CC3O)C(C3)C(NC(C)C(NC(CO)CC4=CC=CC=C4)=O)=O	Emericellopsis microspora	(S.aureus, 31) (B.subt., 31) (S.lutea, 8) (g-pos., ) (various protozoa)
Tallysomycin S7b	1560.631	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCCN(C)C)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O	Streptoalloteichus hindustanus + N,N-dimethyl-1.3-diaminopropane	(S.aureus, 6.3) (S.lutea., 12.5) (B.subt., .1) (E.coli, .4) (P.vulg., ) (Mycob.sp., 3.1) (Fungi, .4)
Decaplanin	1560.965	OC1=CC(O)=C(C2=C(O)C=CC(C(NC3=O)C(NC4C(OC5OC(C)C(O)C(N)(C)C5)C6=CC=C(OC7=CC(C3NC(C(N8)CC(N)=O)=O)=CC(OC(C=C9)=C(Cl)C=C9C(O)C(NC(C(NC)CC(C)C)=O)C8=O)=C7OC%10OC(CO)C(O)C(O)C%10OC%11OC(C)C(O)C(O)C%11O)C=C6)=O)=C2)C(C(C(O)=O)NC4=O)=C1		
Antibiotic CDA	1561.428762	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(C(C)CC(O)=O)C(N1)=O)=O)=O)=O)=O)C2=CC=CC=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1CC4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7		
Tallysomycin S9b	1562.603	O=C(NC(O[C@H](O[C@@H](C)[C@H]1N)[C@H](O)[C@@H]1O)C(O)C2=NC(C3=NC(C(NCCNCCO)=O)=CS3)=CS2)[C@@]([C@](C)([H])O)([H])NC(C[C@H](O)[C@@H](C)NC([C@](NC(C4=NC([C@](NC[C@H](N)C(N)=O)([H])CC(N)=O)=NC(N)=C4C)=O)([H])[C@@](C5=CNC=N5)([H])O[C@H](O6)[C@@H](O[C@@H](O[C@H](CO)[C@H]7O)[C@@H](O)[C@H]7OC(N)=O)[C@@H](O)[C@H](O)[C@@H]6CO)=O)=O	Streptoalloteichus hindustanus+N-beta- Hydroxyethyl-1.2-diaminoethane	(S.aureus, .4) (S.lutea, .8) (B.subt., .013) (E.coli, .1) (P.vulg., .8) (Mycob.sp., .1) (C.alb., 25) (Fungi, 1.6)
Papuamides	1562.778	CCC(C)/C=C(C)/C=C\C(O)C(C)(O)C(NCC(NC(C(NC(C(N)C)C(NC(C(NC(C(C(C)C)OC(C1N(C(C(NC2=O)C(OC)C3=CC=C(OC4OC(C)C(O)C(O)C4O)C=C3)=O)CCCC1)=O)C(NC(COC)C(NCC(NC(C)C(N(C)C2C(O)C)=O)=O)=O)=O)=O)C(C)C(C)C(N)=O)=O)=O)C(O)C)=O)=O		
Antibiotic WAP 8294A	1562.789	O=C(C(CO)NC(C(C(O)C(N)=O)NC(C(CO)NC(CC(OC(C(C(C)C)N(C(C(NC(C(CC1=CNC2=C1C=CC=C2)NC(C(CC(N)=O)NC(C(CCC(O)=O)NC(C(CCCN)NC(C(CC(C)C)NC(C(CC3=CC=CC=C3)N4C)=O)=O)=O)=O)=O)=O)CCCN)=O)C)=O)CCCC(C)C)=O)=O)=O)NCC4=O		
Antibiotic CDA	1563.400762	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(CCC(O)=O)C(N1)=O)=O)=O)=O)=O)C2=CC=C(O)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1CC4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7		
Teicoplanin	1564.264	O=C(NC(C(NC(C(NC1C(O)=O)=O)C(C2=CC=C(O3)C(Cl)=C2)OC4OC(CO)C(O)C(O)C4NC(C)=O)=O)C5=CC(C6=C1C=C(O)C=C6OC7OC(CO)C(O)C(O)C7O)=C(O)C=C5)C(NC8=O)C9=CC(OC%10=C(Cl)C=C(CC(NC(C(N)C%11=CC(O%12)=C(O)C=C%11)=O)C(NC8C%13=CC(O)=CC%12=C%13)=O)C=C%10)=C(O)C3=C9		
Memnopeptide A	1565.854	OC1CCC2(C)C(CCC(C)C23OC(C(CN(C(CCS(C)=O)C(NC(CC4=CN=CN4)C(NC(CCC(N)=O)C(N5CCCC5C(NC(CC6=CNC=N6)C(NC(CCC(N)=O)C(N7CCCC7C(NC(CC(C)C)C(N8CCCC8C(N9CCCC9C(O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)C%10=O)=C%10C=C%11O)=C%11C3)C1(C)C		
Tridecaptin-Ca2	1566.821	O=C(C(C(C)C)NC(C(CCC(O)=O)NC(C(CC1=CC=CC=C1)NC(C(CCN)NC(C(CCN)NC(C(CO)NC(C(CC2=CNC3=C2C=CC=C3)NC(C(CO)NC(CNC(C(CCN)NC(C(C(C)C)NC(CC(CCCCC(C)C)O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)NC(C(C)C)C(NC(CO)C(O)=O)=O	Bacillus polymyxa	(B. subt., 6.25) (S. aureus, 12.5) (E. coli, 3.13) (K. pneum., 6.25) (Ps. aerug., 25)
Acanthagangliosides A-H	1567.856	OC(C(OC(OC(C(C1OC2C(OC(OCC(C(C(CCCCCCCCCCCCCCCCCC)O)O)NC([C@H](CCCCCCCCCCCCCC)O)=O)C(C2O)O)CO)O)C(C(O1)CO)O)(C(O)=O)CC3OC(C(C(OC(C4O)OC(C4O)C(CO)O)C5O)O)OC5CO)C3NC(C)=O)C(CO)O		
Moenomycin-B2;	1568.570762	O=P(OC[C@@H](OC/C=C(C)\CC/C=C/C(C)(C)CCC(C/C=C(C)/CCC=C(C)C)=C)C(O)=O)(O)O[C@@H](O[C@H](C(N)=O)[C@@H]1O)[C@H](O[C@H]2[C@H](NC(C)=O)[C@H]([C@H](O[C@H]3[C@H](NC(C)=O)[C@H]([C@H](O[C@@H]([C@H](O)[C@@H](O)[C@H]4O)O[C@@H]4C(NC5=C(O)CCC5=O)=O)[C@@H](C)O3)O)[C@@H](CO[C@H](O[C@H](CO)[C@H]6O)[C@H](O)[C@H]6O)O2)O)[C@H]1OC(N)=O	S.bambergensis, S.sp.	(S. aureus, .03-0.06) (B. subt., .0025) (E. coli, 8-31.5) (P. vulg., 15-60)
Bogorol B	1570.085	CCC(C)C(O)C(N/C(C(NC(CC(C)C)C(NC(CCCN)C(NC(C(C)C)C(NC(C(C)C)C(NC(C(C)C)C(NC(CCCCN)C(NC(C(C)C)C(NC(CC(C)C)C(NC(CCCCN)C(NC(CC1=CC=C(O)C=C1)C(NC(CC(C)C)C(NC(C(C)C)CO)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=C/C)=O		
Orienticin	1572.036	OC(C(NC1=O)C2=CC(O)=CC(O)=C2C3=C(O)C=CC(C(C(NC1C4OC(CC5(N)C)OC(C)C5O)=O)NC(C6C(C=C7OC8=CC=C(C(C(C(NC(C(N6)=O)CC(N)=O)=O)NC(C(N(C)C)CC(C)C)=O)O)C=C8)=CC(OC9=CC=C4C=C9Cl)=C7OC(C%10OC(OC(C)C%11O)CC%11(N)C)OC(C(C%10O)O)CO)=O)=C3)=O		
Theonellamide F	1572.449	O=C(NCCC(NC(C(O)=O)CC(O)CC(NC1C(NC(C(NC(CO)C(NC(C(NC(CC(NC(CO)C(NC(C(NC(CC(N)=O)C(NC(C2=O)C(C(N)=O)O)=O)=O)CN3C=NC(C1)=C3)=O)=O)C(O)/C=C(C)\C=C/C4=CC=C(Br)C=C4)=O)CC5=CC=CC=C5)=O)=O)C(O)C)=O)=O)=O)C(N2)CC6=CC=CC=C6		
Chondropsin B	1572.973	CC(O)C(NC(C(C)C(O)CCC(C)C(O)/C(C)=C/C(C)C(O)C(CC(C)C)NC(/C=C/C(C)(C)C(C(C)C(O)C(C)(C)C(OC)=O)=O)=O)=O)C(OC1=O)C(C)C(OC(CC(C(O)=O)O)=O)C/C=C(C)/C(O)C(C)/C=C(C)/C(O)C(C)C(O)CC2OC(C/C=C/C=C/CC/C=C/C=C/C(NC1C(C(O)=O)O)=O)CC(C)C2		
Emerimicin IV; Stilbellin II; Samarosporin II; EM-4; U-40590	1573.9	O=C(C(C)(C)NC(C(C)(C)NC(C(CC(C)C)NC(CNC(C(C(C)C)NC(C(C)(C)NC(C(C)(C)NC(C(C)(C)NC(C(CC1=CC=CC=C1)NC(C)=O)=O)=O)=O)=O)=O)=O)=O)=O)N(CC2O)C(C2)C(NC(CCC(N)=O)C(NC(CC)(C)C(N(CC3O)C(C3)C(NC(C)(C)C(NC(CO)CC4=CC=CC=C4)=O)=O)=O)=O)=O	Emericellopsis microspora	(S.aureus, 31) (B.subt., 31) (S.lutea, 16) (E.coli, 500)
Antibiotic CDA	1575.411762	O=C(NC(CC(O)=O)C(NC(C(NC(C(NC(CC(O)=O)C(NCC(NC(C(C(N)=O)OP(O)(O)=O)C(NC(C(C)CC(O)=O)C(N/1)=O)=O)=O)=O)=O)C2=CC=C(O)C=C2)=O)CC(O)=O)=O)C(NC(C(NC(C(CO)NC(C(O3)C3CCC)=O)=O)C(OC(C1=C\C4=CNC5=C4C=CC=C5)=O)C)=O)CC6=CNC7=C6C=CC=C7		
